feature,baseline_macro_f1,perturbed_macro_f1,macro_f1_drop,seed
latency_ms,0.8739309126025361,0.2086913667457028,0.6652395458568332,123
zone_coverage,0.8739309126025361,0.5049498784743243,0.3689810341282118,123
route_deviation_m,0.8739309126025361,0.5061919728721511,0.3677389397303849,123
mission_progress,0.8739309126025361,0.5418528238200722,0.3320780887824639,123
gps_jump_m,0.8739309126025361,0.5978133746412729,0.2761175379612631,123
velocity_inconsistency,0.8739309126025361,0.8549399066494043,0.0189910059531317,123
energy_consumption,0.8739309126025361,0.8731149174852062,0.0008159951173298,123
packet_loss_rate,0.8739309126025361,0.873447574478949,0.000483338123587,123
battery_level,0.8739309126025361,0.8754335486081524,-0.0015026360056162,123
latency_ms,0.8898220238348775,0.1652911838356019,0.7245308399992756,2026
zone_coverage,0.8898220238348775,0.439343435768314,0.4504785880665635,2026
gps_jump_m,0.8898220238348775,0.6033179880926156,0.2865040357422619,2026
mission_progress,0.8898220238348775,0.6374565156840708,0.2523655081508067,2026
route_deviation_m,0.8898220238348775,0.6871156373024092,0.2027063865324683,2026
energy_consumption,0.8898220238348775,0.8866458618210526,0.0031761620138248,2026
packet_loss_rate,0.8898220238348775,0.8898220238348775,0.0,2026
battery_level,0.8898220238348775,0.8904675128761846,-0.0006454890413071,2026
velocity_inconsistency,0.8898220238348775,0.8965695687944959,-0.0067475449596183,2026
latency_ms,0.8611887503533315,0.1827122118903585,0.678476538462973,42
zone_coverage,0.8611887503533315,0.4803477891683121,0.3808409611850193,42
route_deviation_m,0.8611887503533315,0.5148444569720525,0.346344293381279,42
gps_jump_m,0.8611887503533315,0.5437065415474633,0.3174822088058682,42
mission_progress,0.8611887503533315,0.5486266607405499,0.3125620896127816,42
velocity_inconsistency,0.8611887503533315,0.8445967699998883,0.0165919803534432,42
energy_consumption,0.8611887503533315,0.8579082187798339,0.0032805315734976,42
packet_loss_rate,0.8611887503533315,0.8608904887811966,0.0002982615721349,42
battery_level,0.8611887503533315,0.8609686537867137,0.0002200965666178,42
