model,test_loss,accuracy,macro_f1,macro_precision,macro_recall,model_path,seed
lstm,0.0328193873891868,0.9890397184514832,0.9658583623474992,0.9735220152279784,0.9588637589504462,results/journal/seed_123/models/lstm_baseline.pt,123
gru,0.037147318945646,0.988034188034188,0.963359663045511,0.9710127265236927,0.9575276089072032,results/journal/seed_123/models/gru_baseline.pt,123
cnn1d,0.0051411644619337,0.9984917043740572,0.9967046135009614,0.9951028631093018,0.9983345355585196,results/journal/seed_123/models/cnn1d_baseline.pt,123
lstm,0.0405381180503339,0.9846153846153848,0.9524855014470396,0.9515722035025768,0.9552171232010114,results/journal/seed_2026/models/lstm_baseline.pt,2026
gru,0.077702645918138,0.9675213675213676,0.8752388737677601,0.9068893769264066,0.8564580579985264,results/journal/seed_2026/models/gru_baseline.pt,2026
cnn1d,0.0041135357911416,0.9986928104575163,0.99655719137495,0.9979945027270988,0.9951472514187976,results/journal/seed_2026/models/cnn1d_baseline.pt,2026
lstm,0.0387979557148666,0.9875314228255404,0.9639279660612272,0.9631415889810654,0.9651671260505932,results/journal/seed_42/models/lstm_baseline.pt,42
gru,0.0471681407962299,0.9833081950729008,0.9479387918104852,0.9627806353879672,0.9371119471754348,results/journal/seed_42/models/gru_baseline.pt,42
cnn1d,0.0032872593738102,0.9989944695827048,0.9980419463577302,0.9981693047440844,0.997922522289056,results/journal/seed_42/models/cnn1d_baseline.pt,42
GraphTemporalTransformer,0.095452635110833,0.9650075414781296,0.8739309126025361,0.8738465259704172,0.8793071722062697,,123
GraphTemporalTransformer,0.0708783621094884,0.9710407239819004,0.8898220238348775,0.926034394389354,0.8791298305372999,,2026
GraphTemporalTransformer,0.1135273364769147,0.957968828557064,0.8611887503533315,0.8805276248668866,0.8515690590420548,,42
