condition,accuracy,macro_f1,mean_confidence,mean_entropy,low_confidence_rate_lt_0_70,seed
in_distribution_test,0.9650075414781296,0.8739309126025361,0.9575660228729248,0.1119231730699539,0.0404223227752639,123
stealth_jammer,0.0433383609854198,0.0695055352799528,0.8713673949241638,0.3501911759376526,0.0582202111613876,123
slow_gps_drift,0.1160382101558572,0.1620320682068761,0.8497008681297302,0.3595927357673645,0.2020110608345902,123
intermittent_tampering,0.6570135746606335,0.5367903942495651,0.8781653642654419,0.2713200449943542,0.1649069884364002,123
delayed_combined,0.0293614881850175,0.0757543526231957,0.886244535446167,0.3299867212772369,0.0556058320764203,123
unseen_swarm_noise,0.9650075414781296,0.8739309126025361,0.9575154781341552,0.1120514422655105,0.0401206636500754,123
in_distribution_test,0.9710407239819004,0.8898220238348775,0.9717907309532166,0.0743270590901374,0.0283559577677224,2026
stealth_jammer,0.0703871292106586,0.0596334244276692,0.8363770246505737,0.3501923680305481,0.2674710910005027,2026
slow_gps_drift,0.118552036199095,0.1235883459867706,0.9078048467636108,0.2169265002012252,0.1180492709904474,2026
intermittent_tampering,0.6984414278531925,0.629688166345546,0.9063662886619568,0.2308823466300964,0.106787330316742,2026
delayed_combined,0.0355957767722473,0.0531559191787048,0.9392223358154296,0.1728334873914718,0.0722976370035193,2026
unseen_swarm_noise,0.9709401709401708,0.8894001559968097,0.9717884063720704,0.0743352696299552,0.0285570638511814,2026
in_distribution_test,0.957968828557064,0.8611887503533315,0.9600123763084412,0.0920290574431419,0.05771744595274,42
stealth_jammer,0.081649069884364,0.1045645947385897,0.8878964185714722,0.3344184160232544,0.036701860231272,42
slow_gps_drift,0.1411764705882353,0.2245442825945187,0.905141830444336,0.2398645430803299,0.1101055806938159,42
intermittent_tampering,0.7174459527400704,0.6229167621748974,0.890346348285675,0.2436521053314209,0.1583710407239819,42
delayed_combined,0.0266465560583207,0.0274026303867853,0.9327694773674012,0.1900863051414489,0.0674710910005027,42
unseen_swarm_noise,0.9576671694318754,0.8599923025813418,0.960005819797516,0.0920485258102417,0.0578179989944695,42
