epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
1,1.536713877846213,1.054021417278133,0.43308823529411766,0.41958595509346663,0.4326692599974816,0.431838768115942,0.5068493150684932,0.3362068965517241,0.2532894736842105,0.5
2,0.9561770901960485,0.7810611185962206,0.5463235294117647,0.5368118515683612,0.5458729455710658,0.5453869047619048,0.7431506849315068,0.6934141045912048,0.714604524543114,0.7395833333333334
3,0.767679659058066,0.6009771097196291,0.5963235294117647,0.5900343912671027,0.6017283228244923,0.5931353519668737,0.8082191780821918,0.7814753565317926,0.8783539450761049,0.8055555555555556
4,0.5692660727921655,0.3923425551963179,0.7639705882352941,0.7616823433643898,0.7626122443625494,0.7616783126293996,0.9212328767123288,0.9202214301772516,0.9334196165591515,0.9201388888888888
5,0.3684671517680673,0.2306928665262379,0.9301470588235294,0.9298323972480852,0.9318265423300804,0.9295095755693582,0.9691780821917808,0.9689847426651212,0.9722247692401735,0.96875
6,0.2308169175596798,0.17584151356187586,0.975,0.9749540934822329,0.9753573427784001,0.9747670807453417,0.958904109589041,0.9583049839909596,0.9647413989519253,0.9583333333333334
7,0.159724220458199,0.11401314890547974,0.9801470588235294,0.9801558077212497,0.9803263086786912,0.9801048136645962,0.9828767123287672,0.9829570918435546,0.9840902933008195,0.982638888888889
8,0.13153172468437868,0.07669792069147711,0.9772058823529411,0.9771187852308407,0.9775543800384566,0.9769992236024845,0.9863013698630136,0.9864299839909596,0.987468671679198,0.9861111111111112
9,0.1035962090772741,0.05599025259279225,0.9830882352941176,0.9830157573042607,0.9830717061851622,0.983016304347826,0.9965753424657534,0.9966962267431752,0.9969512195121951,0.9965277777777778
10,0.08104539548649507,0.04672342824609312,0.9838235294117647,0.9840232274251386,0.9839869934438715,0.984083850931677,0.9897260273972602,0.9899068987933616,0.9906692406692407,0.9895833333333334
11,0.08867522364153582,0.07539795094156919,0.9801470588235294,0.9800670525537408,0.9803326157396862,0.9799107142857144,0.9828767123287672,0.9827643381982833,0.984451219512195,0.9826388888888888
12,0.06563582781921415,0.07172032802888792,0.9897058823529412,0.9897109555578185,0.989833840326047,0.989648033126294,0.9863013698630136,0.9862614441344795,0.9873358348968105,0.9861111111111112
13,0.09620787514483227,0.05859140010729228,0.9698529411764706,0.9700972460990993,0.9703207230081681,0.9703998447204969,0.9828767123287672,0.9827966128435612,0.983793324775353,0.9826388888888888
14,0.04833333474748275,0.033286463112047276,0.9904411764705883,0.9904236761203897,0.9904855071824084,0.9903920807453417,0.9931506849315068,0.9932233345957702,0.9935728411338167,0.9930555555555556
15,0.05199422980932628,0.025670387769398624,0.9897058823529412,0.989808287885813,0.9898649427778734,0.9897774327122153,0.9965753424657534,0.9966962267431752,0.9969512195121951,0.9965277777777778
16,0.03672352345550761,0.07178789703813318,0.9941176470588236,0.9941753862768707,0.9942809807434266,0.9941123188405797,0.9794520547945206,0.9792509854173368,0.9817073170731707,0.9791666666666667
17,0.08106606401064817,0.24200922658998672,0.9720588235294118,0.9718059628191489,0.9724354622192005,0.9717908902691512,0.8904109589041096,0.8736976428961654,0.9303860279470035,0.8888888888888888
18,0.0511536345762365,0.024111781932719765,0.986764705882353,0.9866710594255506,0.9867511520737328,0.9866071428571429,0.9965753424657534,0.9966962267431752,0.9969512195121951,0.9965277777777778
19,0.02611325779272353,0.02982546144152341,0.9926470588235294,0.9927535968259409,0.9927623757593418,0.9927536231884058,0.9931506849315068,0.9932233345957702,0.9935728411338167,0.9930555555555556
20,0.03498118031112587,0.024122750922425152,0.9904411764705883,0.9904218777763429,0.9906398419530994,0.9903273809523809,0.9931506849315068,0.9932233345957702,0.9935728411338167,0.9930555555555556
