actual_attack_type,attack_intensity,detection_delay_mean,detection_delay_std,detection_delay_ci95,records
combined,high,15.232407407407408,7.933909044280007,0.46582175925925995,1080
combined,low,33.74295190713101,16.068012450893395,1.220812603648426,603
combined,medium,20.303974221267456,10.817049799981293,0.6746106337271769,931
jamming,high,14.989778534923339,7.870466652168789,0.3597458830210112,1761
jamming,low,32.874381800197824,16.600592462841032,1.013600395647872,1011
jamming,medium,21.270783847980997,10.858803431992678,0.4864162707838471,1684
jamming_spoofing,high,15.468554968795008,7.93246488855086,0.3256240998559772,2083
jamming_spoofing,low,32.10847107438016,16.279252454345187,1.0136880165289224,968
jamming_spoofing,medium,21.189044038668097,10.583143694113886,0.7224624060150386,931
jamming_tampering,high,15.346547314578006,7.969979292344216,0.40059942455242936,1564
jamming_tampering,low,32.24305555555556,16.39395490204383,1.1405208333333317,720
jamming_tampering,medium,20.846212700841622,10.729193802793167,0.5463848508033671,1307
spoofing,high,15.06341463414634,7.849475859387232,0.3791082317073169,1640
spoofing,low,33.57866184448463,16.591399992909295,1.3129294755877012,553
spoofing,medium,21.47953216374269,10.524346144508614,0.6920760233918131,855
spoofing_tampering,high,15.591958302308266,8.012108908757837,0.41405435591958284,1343
spoofing_tampering,low,31.767052767052768,16.925259144406734,1.196991634491635,777
spoofing_tampering,medium,21.08048780487805,10.746904704967667,0.7299542682926834,820
tampering,high,15.479651162790697,7.969173448966207,0.37129360465116257,1720
tampering,low,32.254901960784316,16.716955273549047,1.4366176470588226,510
tampering,medium,20.87302725968436,10.369933840265363,0.5556492109038746,1394
